Probability_Total_num	percentile
0.006352247	0.0001
0.007053840554555456	0.0002
0.007574168797979798	0.0003
0.008004948159315932	0.0004
0.008101430571157116	0.0005
0.008381331702070206	0.0006
0.008671031519651965	0.0007
0.008699554366636662	0.0008
0.008876312446644665	0.0009
0.009423468579657967	0.001
0.009492912519651965	0.0011
0.009632159529152914	0.0012
0.009854003337533754	0.0013
0.010274030676967697	0.0014
0.01040617693279328	0.0015
0.010700266429942994	0.0016
0.01086191908080808	0.0017
0.01100967897629763	0.0018
0.011687566662466247	0.0019
0.012036074969896988	0.002
0.012386656883888389	0.0021
0.012503542883588358	0.0022
0.012943663425742572	0.0023
0.01343760994239424	0.0024
0.013456230313531353	0.0025
0.013536889256125612	0.0026
0.013686433300330033	0.0027
0.013832919596759675	0.0028
0.013934842785678567	0.0029
0.013945780801880189	0.003
0.01400227487848785	0.0031
0.014124558847584758	0.0032
0.014213993451645163	0.0033
0.014342042420792081	0.0034
0.014518852246474648	0.0035
0.014648380193419342	0.0036
0.014723431764176419	0.0037
0.014814492371237123	0.0038
0.014865374728672867	0.0039
0.01490157707170717	0.004
0.015052454139813981	0.0041
0.015352460617761778	0.0042
0.015619506611761176	0.0043
0.016149245341234124	0.0044
0.016924685671067103	0.0045
0.017282937812781278	0.0046
0.01744423499169917	0.0047
0.017605617332733272	0.0048
0.017679912673867385	0.0049
0.017905952737373734	0.005
0.018095185435043508	0.0051
0.018150228122712272	0.0052
0.018455712771577155	0.0053
0.018692174395039503	0.0054
0.01870945697029703	0.0055
0.018868296818481848	0.0056
0.018987446542054205	0.0057
0.019251529656165615	0.0058
0.019539140609460947	0.0059
0.01984917290329033	0.006
0.020026133558355835	0.0061
0.020196361850985098	0.0062
0.02056791420962096	0.0063
0.021011318995499552	0.0064
0.021299082467246724	0.0065
0.021563594478847887	0.0066
0.022170293386138615	0.0067
0.02240636836293629	0.0068
0.0224757426739674	0.0069
0.022608725742274228	0.007
0.02265392553565357	0.0071
0.022894993377337733	0.0072
0.02309044670387039	0.0073
0.023134466923392338	0.0074
0.023220632417141715	0.0075
0.023316436966996697	0.0076
0.023484458549554953	0.0077
0.023610344053905392	0.0078
0.02366657685058506	0.0079
0.023686485035003504	0.008
0.024262807537053708	0.0081
0.024374188327632766	0.0082
0.024397872661266126	0.0083
0.0244188431590159	0.0084
0.025064021813081303	0.0085
0.025442466385238522	0.0086
0.025551138148614864	0.0087
0.025615301414641467	0.0088
0.02565348235753575	0.0089
0.025737092794179416	0.009
0.025781636306930693	0.0091
0.025867225713871386	0.0092
0.025874361251825184	0.0093
0.025894439519951996	0.0094
0.025995955517951794	0.0095
0.026157410541854182	0.0096
0.026186827336633665	0.0097
0.02623850368006801	0.0098
0.02636786512851285	0.0099
0.026375226910891086	0.01
0.026420665543754378	0.0101
0.0264996118989899	0.0102
0.026613836867686768	0.0103
0.026779769725372538	0.0104
0.026839228436243624	0.0105
0.02698914112871287	0.0106
0.027053031479847986	0.0107
0.027186164014101413	0.0108
0.027265829798379836	0.0109
0.02764976375017502	0.011
0.027742909795379543	0.0111
0.028039080480048006	0.0112
0.02806578210731073	0.0113
0.02811646677677768	0.0114
0.028270720605760576	0.0115
0.028648473704070407	0.0116
0.028745229302830286	0.0117
0.028815464965796577	0.0118
0.02908389515121512	0.0119
0.029447758050505052	0.012
0.0296483818319832	0.0121
0.029884540182618262	0.0122
0.030157303832483245	0.0123
0.030329488113111314	0.0124
0.0307207333550355	0.0125
0.030993059653065307	0.0126
0.031229833634563456	0.0127
0.031385060534053405	0.0128
0.03158710348614861	0.0129
0.031627310462046206	0.013
0.031687818936593656	0.0131
0.03178063668016802	0.0132
0.03180967260066006	0.0133
0.03190713472047205	0.0134
0.03217374817201721	0.0135
0.03237547385058506	0.0136
0.03249306867306731	0.0137
0.0326416780760076	0.0138
0.03271212958415842	0.0139
0.03299362616261626	0.014
0.033231520781078105	0.0141
0.03336362198679868	0.0142
0.033488127719071906	0.0143
0.03350524590429042	0.0144
0.03363404025832584	0.0145
0.033806983516451644	0.0146
0.034102150270027	0.0147
0.03456438941794179	0.0148
0.03493395882528253	0.0149
0.035056408319831985	0.015
0.03517569825382538	0.0151
0.035296420381038106	0.0152
0.035506248349834985	0.0153
0.03575186734833484	0.0154
0.035991662607260735	0.0155
0.03615185791459146	0.0156
0.036396201116111616	0.0157
0.03652836580318032	0.0158
0.036822951771377135	0.0159
0.03727453690669067	0.016
0.0374340832630263	0.0161
0.03745813790789079	0.0162
0.037628719584158414	0.0163
0.03805058053185319	0.0164
0.03835423099779978	0.0165
0.03846441311221122	0.0166
0.038649508121912195	0.0167
0.03885711277257725	0.0168
0.03893389233363336	0.0169
0.03903451362936293	0.017
0.03927031489248925	0.0171
0.0393678907020702	0.0172
0.03950611327032704	0.0173
0.039768797938793884	0.0174
0.040295989585958605	0.0175
0.04066281463926394	0.0176
0.04080593455225522	0.0177
0.041120170261026094	0.0178
0.041387898281828185	0.0179
0.041574307074707474	0.018
0.041627089411341134	0.0181
0.04200074944934494	0.0182
0.04202651287478748	0.0183
0.04224307723462346	0.0184
0.04228118230823082	0.0185
0.0425111866950695	0.0186
0.0425709516570657	0.0187
0.04258170014961496	0.0188
0.04296557150675068	0.0189
0.043167577533753373	0.019
0.043310495891589154	0.0191
0.043599309989999	0.0192
0.044331257992799286	0.0193
0.04472133776787681	0.0194
0.04539165993029303	0.0195
0.045467335557155715	0.0196
0.04557118705470547	0.0197
0.04572646870687069	0.0198
0.045746103801980194	0.0199
0.04575752093489349	0.02
