Probability_nonMHC_num	percentile_nonMHC
0.03162211	0.0001
0.032104424998899886	0.0002
0.03280832404840484	0.0003
0.033396547578757874	0.0004
0.035150920328032804	0.0005
0.0368346494169417	0.0006
0.03829431949714971	0.0007
0.03951338219251925	0.0008
0.0405793786859686	0.0009
0.04079944610081008	0.001
0.042353506471247124	0.0011
0.044142005031903186	0.0012
0.04461999710111011	0.0013
0.04525000697249725	0.0014
0.046017466040804075	0.0015
0.04633507827242724	0.0016
0.04664682403980398	0.0017
0.047613470629862986	0.0018
0.048819137249324934	0.0019
0.049725454993499354	0.002
0.05008604218821882	0.0021
0.05129095643864386	0.0022
0.05158069043784378	0.0023
0.051718235228122814	0.0024
0.05199315822622262	0.0025
0.052345933677567756	0.0026
0.0529379402810281	0.0027
0.054117656331233124	0.0028
0.05502206219941994	0.0029
0.05522734503570357	0.003
0.0555595041020102	0.0031
0.055582878126812674	0.0032
0.05603883322112211	0.0033
0.05688101057425743	0.0034
0.05704647337173718	0.0035
0.057361237627662764	0.0036
0.05768571870117012	0.0037
0.05805657402940294	0.0038
0.05829733934153415	0.0039
0.058997774628262833	0.004
0.05985562518411841	0.0041
0.060282278706170624	0.0042
0.06065714591389139	0.0043
0.0607024741580158	0.0044
0.06090534731573158	0.0045
0.06118101355085509	0.0046
0.06133207163966396	0.0047
0.06180742658565856	0.0048
0.06226461701950195	0.0049
0.062360397706770675	0.005
0.06269756625722572	0.0051
0.06315018328232823	0.0052
0.0635925248020802	0.0053
0.06383811108030803	0.0054
0.0638845310171017	0.0055
0.06391942350935093	0.0056
0.06392813512371237	0.0057
0.06447774188118813	0.0058
0.06491595507050704	0.0059
0.06500976571357135	0.006
0.06527891092409241	0.0061
0.06545679143814381	0.0062
0.06550204078547855	0.0063
0.06561444683348336	0.0064
0.06574470152495249	0.0065
0.06588947605100509	0.0066
0.06615788353135314	0.0067
0.0663720751860186	0.0068
0.06658703231713171	0.0069
0.06694079597899791	0.007
0.06706685431243124	0.0071
0.06710865193019303	0.0072
0.06743749522052205	0.0073
0.06772455824082409	0.0074
0.06785816431543154	0.0075
0.06794551746474647	0.0076
0.06808773781678168	0.0077
0.06812020784378439	0.0078
0.06824756644164416	0.0079
0.06839971820382039	0.008
0.06875345184918492	0.0081
0.06891656955895589	0.0082
0.06933208139453946	0.0083
0.06943230557635764	0.0084
0.06950809532253224	0.0085
0.069952639139914	0.0086
0.07014722557455745	0.0087
0.07027765306030603	0.0088
0.07048981244224423	0.0089
0.07065015507350736	0.009
0.07073118797479748	0.0091
0.07084220862686269	0.0092
0.07098193574957495	0.0093
0.071048085309931	0.0094
0.0711101688188819	0.0095
0.07114207811581157	0.0096
0.07114893651365137	0.0097
0.0712013295509551	0.0098
0.07158925952375238	0.0099
0.0717333408910891	0.01
0.07233470630763077	0.0101
0.07247504131313132	0.0102
0.07280943873987399	0.0103
0.07296702104610461	0.0104
0.07314463457345735	0.0105
0.07323255476747675	0.0106
0.07337058553275327	0.0107
0.07378784906950694	0.0108
0.07392232614761476	0.0109
0.07423195909090909	0.011
0.0744797890979098	0.0111
0.07461069944494449	0.0112
0.07464590074307431	0.0113
0.07479973335833584	0.0114
0.07490967469246926	0.0115
0.07512219372237224	0.0116
0.07546995837683769	0.0117
0.07580381306030604	0.0118
0.07595860602460246	0.0119
0.07618083679167917	0.012
0.07632699864326432	0.0121
0.07637920188558855	0.0122
0.07653107812481248	0.0123
0.07674718039903991	0.0124
0.07694092730973098	0.0125
0.07714501230223023	0.0126
0.07753262438523853	0.0127
0.07784957316571657	0.0128
0.07794225251825182	0.0129
0.0780362397269727	0.013
0.07819090558155817	0.0131
0.07831476092389239	0.0132
0.0785464664620462	0.0133
0.07875187832083208	0.0134
0.07879389732473246	0.0135
0.07903496840684068	0.0136
0.07932023620462046	0.0137
0.07938573360136014	0.0138
0.07955167529672968	0.0139
0.07985434557415741	0.014
0.08004567560076008	0.0141
0.08019956545454546	0.0142
0.08041252024802481	0.0143
0.08056970853685369	0.0144
0.08084112225022502	0.0145
0.08123583441584158	0.0146
0.08146422371177117	0.0147
0.08157972444944495	0.0148
0.08167990317651766	0.0149
0.08175050727572758	0.015
0.08178307754875488	0.0151
0.08204590491069107	0.0152
0.08223279368796879	0.0153
0.08225186425742576	0.0154
0.08236731726072608	0.0155
0.08259776139513951	0.0156
0.0828810703150315	0.0157
0.08300724614061405	0.0158
0.08307506360336034	0.0159
0.08328623492649265	0.016
0.0835029200810081	0.0161
0.08357952750695069	0.0162
0.08361783027362736	0.0163
0.08369511601560156	0.0164
0.0837249904450445	0.0165
0.08374210584158415	0.0166
0.08376867359735973	0.0167
0.08382301605960596	0.0168
0.0838911864161416	0.0169
0.08406639820832083	0.017
0.08413965098609862	0.0171
0.08429523365436543	0.0172
0.08465197241324134	0.0173
0.0849454295549555	0.0174
0.08498683680468047	0.0175
0.08513893358035804	0.0176
0.08516422719471947	0.0177
0.08518439490549055	0.0178
0.08525260827082708	0.0179
0.08538623487548753	0.018
0.08551709023762377	0.0181
0.08609689567416744	0.0182
0.08618455649964997	0.0183
0.0862614808460846	0.0184
0.08646004039503952	0.0185
0.08678026360536054	0.0186
0.08724296760576057	0.0187
0.08732185711771177	0.0188
0.0873286290729073	0.0189
0.08735645216921692	0.019
0.08745751243804381	0.0191
0.08794657945154516	0.0192
0.08802448954215422	0.0193
0.08824564616261626	0.0194
0.08843788769676968	0.0195
0.08853574666186617	0.0196
0.08871180481848184	0.0197
0.08888959428942894	0.0198
0.08908082257425744	0.0199
0.08928473143714372	0.02
